url,positions,positions_top10,positions_top3,traffic,traffic_top10,traffic_top3,cost,cost_top10,cost_top3,rank
100percentfedup.com,1987,62,54,1788,17,11,3171.836783,3146.991821,3139.23985,52
1010wins.radio.com,0,0,0,0,0,0,0,0,0,42
1011now.com,257882,9594,2704,185536,6789,1877,88205.55209,73243.01488,49466.11457,32
10tv.com,259414,16126,4961,192454,12736,3777,278516.2986,256851.2564,193930.311,38
11alive.com,669674,45512,12034,461454,36312,10392,571307.0909,487998.3482,298993.9169,34
12minutos.com,19921,1269,294,12351,968,229,6133.794318,4544.928076,2170.830838,30
12news.com,405680,19045,4626,291171,15977,3938,251124.8766,216948.8041,125814.0714,34
12newsnow.com,150291,4108,1187,119348,3117,898,29859.72835,24266.13106,15270.94819,31
13abc.com,230747,9552,2590,173426,7409,2000,78701.1629,66498.61968,41569.71563,32
13newsnow.com,408070,22296,6292,299859,17237,5090,203579.9862,174194.012,105613.5348,32
13wham.com,126808,10749,3556,96671,7572,2463,187485.3949,178117.9125,143046.5634,78
13wmaz.com,165042,7055,2113,124394,5232,1576,79811.80711,71314.54827,54216.23566,32
14news.com,177949,9963,3420,128738,6590,2256,106711.2622,96902.09511,76679.92156,32
19fortyfive.com,12743,1317,548,9219,864,180,10177.21723,8747.982047,5815.819806,37
19thnews.org,109767,6800,1485,87815,6092,1327,124971.8332,110218.8185,53127.49168,56
21stcenturywire.com,244,32,22,155,6,2,1576.037397,1574.421333,1572.57,56
247wallst.com,414513,23411,3129,296525,20075,2802,179720.2283,144590.0154,72909.96141,79
24aktuelles.com,2822,242,41,2342,212,34,1504.226306,1094.303417,393.4066485,29
24ur.com,131512,13637,5351,72114,8272,2804,1104689.805,1085041.327,1030427.572,49
2ndvote.com,88,19,15,81,14,10,969.5243323,963.7673332,957.467,32
38north.org,18244,999,272,9454,514,151,13306.17745,10959.79861,4861.402943,48
4029tv.com,97872,8282,2405,67238,6151,1701,77103.97753,67887.28246,43498.7586,31
4chan.org,215472,12519,7610,129480,2602,1421,2303871.801,2299495.559,2285729.128,80
5newsonline.com,170903,8850,2617,125101,6971,1971,70154.34886,60577.47362,38827.16806,43
604now.com,73410,4505,922,50680,4080,835,30049.82982,24466.07732,11785.50027,39
6abc.com,1053112,62980,18782,770088,48608,14750,1044301.906,934601.9803,616082.1142,79
79days.news,0,0,0,0,0,0,0,0,0,31
7news.com.au,1650977,146359,34306,922776,105691,25537,1711135.993,1502479.354,885168.081,82
8newsnow.com,450836,34652,10783,323257,25080,8158,587494.7295,543124.1556,391008.3481,41
911truth.org,158,23,22,114,5,5,19.45498916,17.83696292,16.72966667,80
972mag.com,15978,982,603,9258,212,60,4785.678918,3935.815565,2919.393711,53
9news.com,787292,60352,14872,566969,49228,12496,871017.7346,774265.7648,449146.3919,35
9news.com.au,2068866,180663,48067,1191029,130860,34247,2942118.656,2672826.657,1857440.603,41
aa.com.tr,4391256,353383,83305,2420774,263651,70657,6340565.041,5271775.833,2630876.552,73
aap.com.au,77295,3682,937,57936,2985,659,19758.03357,15246.23217,7088.326798,47
aapsonline.org,1350,102,47,1143,71,33,505.1637334,471.5257793,395.846875,79
aawsat.com/english,1672815,93394,22773,808572,53546,12776,1509766.069,1198401.965,539421.9946,83
abc.es,9672125,815898,266388,4757686,446826,143738,12382382.12,11384017.25,8699616.695,15
abc.net.au,6350725,357654,113235,3580790,239646,73320,5799795.829,5304015.118,4176771.817,54
abc11.com,717302,44726,13100,546045,34134,10235,562700.9222,481635.7551,315981.1011,74
abc12.com,167163,8887,2810,122549,6240,1809,126173.3278,109753.5193,80664.51327,38
abc13.com,842290,50044,16581,622524,36818,12498,642358.0394,571175.2241,396661.5811,80
abc17news.com,107566,3404,987,87294,2597,693,41493.42213,36609.7019,28863.96085,52
abc27.com,740991,60755,12784,572565,51831,10783,669528.3303,586139.4964,300396.6077,47
abc30.com,441143,21737,7368,326456,15482,5259,232908.7482,203949.9057,142975.5576,56
abc3340.com,168316,11569,3352,133097,8832,2422,119749.7202,100273.9833,58367.72006,78
abc4.com,468515,25195,5898,352719,20191,4835,263698.5456,222079.5258,127411.6314,49
abc6onyourside.com,109351,8262,2794,85466,6199,1930,78427.0888,67320.95379,43259.90311,73
abc7amarillo.com,67830,3889,1392,53946,2749,955,43251.60912,39024.58813,28452.59874,51
abc7chicago.com,1734058,156704,45082,1241402,122021,37371,2531006.133,2214096.474,1238080.26,79
abc7news.com,1118050,71700,15996,819866,59830,13648,699121.3545,576261.98,269374.0753,79
abc7ny.com,1365965,90631,25656,978167,72876,20896,1288710.13,1120940.093,682733.3831,83
abcnews.com.co,0,0,0,0,0,0,0,0,0,41
abcnews.go.com,7153727,468493,122418,4294678,348998,97556,9802555.626,8634162.309,5359699.373,88
abcnews4.com,172713,10824,2888,132815,8581,2264,101842.1042,80471.51298,43922.21208,76
abcstlouis.com,6742,325,133,5818,192,59,3196.184988,1892.248435,745.5616759,46
abort73.com,4141,290,57,3211,246,35,969.7023826,764.4255703,244.2506833,38
abovethelaw.com,132455,10247,2386,89103,7703,1807,86620.2748,72397.78737,46119.52825,80
abovetopsecret.com,11114,448,216,9049,233,43,26572.38918,26254.30488,25810.92994,47
abqjournal.com,139375,9120,1962,103788,7272,1599,92693.54379,76851.29581,36198.70647,42
ac2news.com,0,0,0,0,0,0,0,0,0,26
academia.org,813,18,6,698,12,1,68.71026682,42.52349039,0.33,35
accountable.us,6830,263,68,5721,237,52,1556.748412,1211.57738,399.9680222,46
aceshowbiz.com,158917,1702,151,113837,1581,144,10044.55702,5078.459724,1209.593431,47
aclj.org,2806,330,205,1667,119,75,8702.915461,8513.185196,8102.365073,81
